,FIPS,State,County_Name,Population_2010,RUCC_2013,Description
0,1001,AL,Autauga County,54571,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
1,1003,AL,Baldwin County,182265,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
2,1005,AL,Barbour County,27457,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
3,1007,AL,Bibb County,22915,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
4,1009,AL,Blount County,57322,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
5,1011,AL,Bullock County,10914,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
6,1013,AL,Butler County,20947,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
7,1015,AL,Calhoun County,118572,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
8,1017,AL,Chambers County,34215,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
9,1019,AL,Cherokee County,25989,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
10,1021,AL,Chilton County,43643,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
11,1023,AL,Choctaw County,13859,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
12,1025,AL,Clarke County,25833,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
13,1027,AL,Clay County,13932,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
14,1029,AL,Cleburne County,14972,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
15,1031,AL,Coffee County,49948,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
16,1033,AL,Colbert County,54428,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
17,1035,AL,Conecuh County,13228,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
18,1037,AL,Coosa County,11539,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
19,1039,AL,Covington County,37765,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
20,1041,AL,Crenshaw County,13906,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
21,1043,AL,Cullman County,80406,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
22,1045,AL,Dale County,50251,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
23,1047,AL,Dallas County,43820,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
24,1049,AL,DeKalb County,71109,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
25,1051,AL,Elmore County,79303,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
26,1053,AL,Escambia County,38319,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
27,1055,AL,Etowah County,104430,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
28,1057,AL,Fayette County,17241,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29,1059,AL,Franklin County,31704,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
30,1061,AL,Geneva County,26790,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
